Date,Open,High,Low,Close
09-07-2004,"2,027.75","2,077.90","1,967.45","2,072.35"
12-07-2004,"2,074.40","2,103.00","2,063.55","2,076.35"
13-07-2004,"2,098.60","2,129.35","2,075.45","2,091.40"
14-07-2004,"2,093.85","2,137.60","2,093.85","2,123.65"
15-07-2004,"2,133.75","2,165.85","2,124.75","2,161.45"
16-07-2004,"2,164.95","2,194.00","2,151.95","2,186.10"
19-07-2004,"2,186.30","2,209.85","2,177.90","2,192.65"
20-07-2004,"2,190.50","2,190.50","2,155.35","2,160.40"
21-07-2004,"2,161.45","2,186.30","2,149.05","2,168.05"
22-07-2004,"2,186.55","2,194.15","2,158.60","2,169.40"
23-07-2004,"2,182.40","2,214.40","2,178.55","2,185.20"
26-07-2004,"2,176.80","2,187.35","2,155.70","2,180.65"
27-07-2004,"2,192.60","2,207.80","2,168.60","2,174.80"
28-07-2004,"2,178.10","2,217.55","2,178.10","2,209.75"
29-07-2004,"2,212.25","2,255.00","2,203.35","2,246.85"
30-07-2004,"2,252.95","2,289.00","2,249.50","2,269.20"
02-08-2004,"2,270.90","2,275.60","2,248.15","2,258.70"
03-08-2004,"2,260.65","2,280.95","2,252.35","2,266.05"
04-08-2004,"2,265.80","2,265.80","2,229.95","2,239.40"
05-08-2004,"2,242.00","2,306.60","2,239.85","2,300.50"
06-08-2004,"2,300.20","2,300.20","2,248.75","2,264.50"
09-08-2004,"2,250.30","2,284.55","2,228.35","2,281.25"
10-08-2004,"2,284.70","2,299.30","2,265.85","2,286.80"
11-08-2004,"2,292.05","2,316.40","2,255.20","2,264.85"
12-08-2004,"2,253.20","2,271.40","2,225.55","2,236.65"
13-08-2004,"2,233.55","2,243.55","2,204.15","2,210.85"
16-08-2004,"2,233.55","2,243.55","2,204.15","2,210.85"
17-08-2004,"2,228.10","2,257.95","2,225.25","2,234.55"
18-08-2004,"2,234.85","2,250.90","2,222.80","2,231.95"
19-08-2004,"2,247.45","2,293.90","2,247.45","2,289.35"
20-08-2004,"2,290.10","2,304.10","2,275.30","2,294.30"
23-08-2004,"2,296.05","2,338.00","2,293.85","2,303.40"
24-08-2004,"2,304.45","2,333.70","2,304.45","2,325.15"
25-08-2004,"2,334.55","2,341.05","2,284.20","2,296.20"
26-08-2004,"2,289.65","2,323.70","2,289.65","2,318.25"
27-08-2004,"2,318.55","2,322.00","2,299.70","2,318.20"
30-08-2004,"2,324.60","2,344.15","2,317.85","2,340.25"
31-08-2004,"2,340.55","2,352.90","2,323.25","2,340.15"
01-09-2004,"2,342.70","2,352.95","2,340.35","2,343.90"
02-09-2004,"2,347.85","2,386.55","2,347.85","2,372.30"
03-09-2004,"2,374.15","2,395.50","2,369.00","2,390.10"
06-09-2004,"2,391.65","2,413.85","2,391.65","2,405.60"
